,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
254,Bryce Love,WAS,240,RB67,8.0,68.0,317.0,213.0,58.1,322.0
255,Jerick McKinnon,SF,241,RB68,11.0,121.0,349.0,215.5,54.0,209.0
256,Ryan Fitzpatrick,MIA,242,QB31,11.0,141.0,358.0,243.4,47.3,245.0
257,New Yo,DST,243,DST21,11.0,123.0,334.0,231.0,41.3,249.0
258,Mohamed Sanu,NE,244,WR77,6.0,158.0,301.0,222.1,28.2,248.0
259,Kenny Stills,HOU,245,WR78,8.0,156.0,348.0,223.0,32.4,224.0
260,Jalen Richard,LV,246,RB69,6.0,135.0,347.0,225.0,41.9,263.0
261,Ito Smith,ATL,247,RB70,10.0,113.0,310.0,223.2,38.4,284.0
262,Tee Higgins,CIN,248,WR79,9.0,129.0,360.0,223.5,34.9,211.0
263,Joey Slye,CAR,249,K18,13.0,125.0,339.0,249.6,33.4,285.0
264,Rashaad Penny,SEA,250,RB71,6.0,99.0,368.0,214.9,51.0,202.0
265,Jimmy Graham,CHI,251,TE31,11.0,124.0,335.0,241.2,37.0,173.0
266,Nick Foles,CHI,252,QB32,11.0,131.0,352.0,256.5,43.9,311.0
267,Danny Amendola,DET,253,WR80,5.0,160.0,346.0,228.9,33.3,278.0
268,Tyler Eifert,JAC,254,TE32,7.0,87.0,344.0,233.9,46.0,197.0
269,Rex Burkhead,NE,255,RB72,6.0,119.0,332.0,236.5,34.8,296.0
270,Miles Boykin,BAL,256,WR81,8.0,135.0,332.0,236.1,37.5,299.0
271,Bryan Edwards,LV,257,WR82,6.0,106.0,345.0,212.1,55.0,222.0
272,Russell Gage,ATL,258,WR83,10.0,166.0,341.0,238.9,38.5,318.0
273,Houston (HOU)H,DST,259,DST22,8.0,141.0,311.0,257.1,34.6,308.0
274,Austin Seibert,CLE,260,K19,9.0,157.0,335.0,264.0,31.5,257.0
275,Royce Freeman,DEN,261,RB73,8.0,112.0,349.0,237.0,52.0,247.0
276,Josh Reynolds,LAR,262,WR84,9.0,172.0,324.0,236.2,31.2,269.0
277,Josh Lambo,JAC,263,K20,7.0,102.0,419.0,262.7,40.0,312.0
278,Washington (WAS)W,DST,264,DST23,8.0,140.0,355.0,265.7,42.2,221.0
279,Chris Conley,JAC,265,WR85,7.0,169.0,318.0,237.5,28.5,289.0
280,David Njoku,CLE,266,TE33,9.0,111.0,351.0,252.1,43.5,266.0
281,Justice Hill,BAL,267,RB74,8.0,112.0,365.0,238.3,54.9,227.0
282,Gus Edwards,BAL,268,RB75,8.0,130.0,339.0,241.3,37.6,270.0
283,Tua Tagovailoa,MIA,269,QB33,11.0,29.0,417.0,269.3,54.9,185.0
284,Jacksonville (JAC)J,DST,270,DST24,7.0,130.0,324.0,271.6,40.3,328.0
285,Jaylen Samuels,PIT,271,RB76,8.0,124.0,363.0,249.5,43.8,272.0
286,Tre'Quan Smith,NO,272,WR86,6.0,146.0,408.0,247.2,39.6,279.0
287,Dion Lewis,NYG,273,RB77,11.0,132.0,355.0,252.6,32.0,275.0
288,Darrel Williams,KC,274,RB78,10.0,97.0,393.0,250.3,64.8,343.0
289,Atlanta (ATL)A,DST,275,DST25,10.0,159.0,333.0,277.7,36.4,229.0
290,LeSean McCoy,TB,276,RB79,13.0,100.0,335.0,231.2,59.5,182.0
291,Frank Gore,NYJ,277,RB80,11.0,127.0,354.0,253.3,51.9,264.0
292,Chase Claypool,PIT,278,WR87,8.0,138.0,396.0,252.2,39.7,260.0
294,Detroit (DET)D,DST,279,DST26,5.0,152.0,336.0,282.5,38.2,250.0
295,Daniel Carlson,LV,280,K21,6.0,176.0,421.0,278.4,39.1,293.0
296,Adam Humphries,TEN,281,WR88,7.0,170.0,369.0,254.6,34.1,315.0
297,Carolina (CAR)C,DST,282,DST27,13.0,145.0,347.0,282.1,43.4,370.0
298,Darwin Thompson,KC,283,RB81,10.0,160.0,369.0,264.8,41.1,303.0
299,Mitch Trubisky,CHI,284,QB34,11.0,138.0,384.0,285.5,50.1,320.0
300,Dare Ogunbowale,TB,285,RB82,13.0,118.0,348.0,260.9,42.7,331.0
301,Stephen Hauschka,FA,286,K22,,146.0,308.0,263.3,29.2,302.0
302,Andy Isabella,ARI,287,WR89,8.0,134.0,422.0,255.0,40.5,262.0
303,Marquez Valdes-Scantling,GB,288,WR90,5.0,153.0,371.0,260.7,36.4,317.0
304,Brett Maher,FA,289,K23,,147.0,338.0,276.8,41.1,381.0
305,KJ Hamler,DEN,290,WR91,8.0,187.0,373.0,259.3,36.3,291.0
306,Vance McDonald,PIT,291,TE34,8.0,162.0,355.0,274.4,40.2,295.0
307,Peyton Barber,WAS,292,RB83,8.0,121.0,354.0,263.0,49.0,307.0
308,Dustin Hopkins,WAS,293,K24,8.0,178.0,422.0,285.6,40.8,286.0
309,Chase McLaughlin,IND,294,K25,7.0,199.0,423.0,276.0,39.7,259.0
310,Lamar Miller,NE,295,RB84,6.0,95.0,350.0,251.5,57.2,210.0
311,Phillip Dorsett,SEA,296,WR92,6.0,199.0,374.0,270.0,35.4,314.0
312,Brian Hill,ATL,297,RB85,10.0,151.0,348.0,270.2,39.3,258.0
313,J.J. Arcega-Whiteside,PHI,298,WR93,9.0,156.0,436.0,272.9,45.7,327.0
314,Auden Tate,CIN,299,WR94,9.0,136.0,386.0,266.5,47.0,304.0
315,Zach Pascal,IND,300,WR95,7.0,199.0,386.0,275.2,39.3,306.0
316,Lynn Bowd,LV,301,RB86,6.0,115.0,357.0,242.8,54.9,235.0
317,Justin Herbert,LAC,302,QB35,10.0,106.0,418.0,290.1,49.2,305.0
318,Kendrick Bourne,SF,303,WR96,11.0,129.0,389.0,258.4,53.9,267.0
319,Van Jefferson,LAR,304,WR97,9.0,132.0,399.0,271.5,47.7,336.0
320,Demarcus Robinson,KC,305,WR98,10.0,202.0,456.0,284.0,42.5,325.0
321,Devonta Freeman,FA,306,RB87,,110.0,391.0,263.3,57.0,214.0
322,Cameron Brate,TB,307,TE35,13.0,188.0,353.0,290.1,38.1,316.0
323,Mike Boone,MIN,308,RB88,7.0,187.0,346.0,284.6,29.5,332.0
324,Antonio Gandy-Golden,WAS,309,WR99,8.0,136.0,383.0,275.2,47.9,344.0
325,Justin Rohrwasser,NE,310,K26,6.0,198.0,424.0,276.8,36.9,168.0
326,Arizona (ARI)A,DST,311,DST28,8.0,140.0,344.0,286.9,44.0,354.0
327,Aldrick Rosas,FA,312,K27,,162.0,337.0,280.5,33.8,337.0
328,Devin Duvernay,BAL,313,WR100,8.0,116.0,497.0,282.6,53.2,232.0
