,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
63,D'Andre Swift,DET,58,RB26,5.0,25.0,178.0,62.7,21.0,65.0
64,DeVante Parker,MIA,59,WR25,11.0,25.0,145.0,63.0,17.6,53.0
66,Kyler Murray,ARI,60,QB4,8.0,21.0,112.0,63.2,10.2,57.0
67,Russell Wilson,SEA,61,QB5,6.0,22.0,87.0,61.4,8.3,52.0
68,Deshaun Watson,HOU,62,QB6,8.0,23.0,104.0,64.6,10.0,59.0
69,Devin Singletary,BUF,63,RB27,11.0,13.0,150.0,62.0,18.1,61.0
70,Ronald Jon,TB,64,RB28,13.0,27.0,153.0,65.5,17.9,86.0
71,T.Y. Hilton,IND,65,WR26,7.0,38.0,126.0,66.6,15.7,62.0
72,David Montgomery,CHI,66,RB29,11.0,33.0,155.0,64.4,21.3,63.0
73,Stefon Diggs,BUF,67,WR27,11.0,30.0,127.0,67.9,14.8,64.0
74,Jarvis Landry,CLE,68,WR28,9.0,44.0,143.0,75.9,15.9,74.0
75,Michael Gallup,DAL,69,WR29,10.0,41.0,142.0,76.0,17.9,73.0
76,Evan Engram,NYG,70,TE6,11.0,36.0,184.0,77.2,21.8,79.0
77,Marquise Brown,BAL,71,WR30,8.0,33.0,150.0,78.4,19.4,77.0
78,Tyler Boyd,CIN,72,WR31,9.0,41.0,120.0,75.5,14.9,75.0
79,A.J. Green,CIN,73,WR32,9.0,25.0,184.0,81.3,22.0,69.0
80,Josh Allen,BUF,74,QB7,11.0,31.0,134.0,78.4,13.2,68.0
81,nan n,nan,nan,,,,,,,
82,Matt Ryan,ATL,75,QB8,10.0,38.0,167.0,79.2,16.1,76.0
83,Julian Edelman,NE,76,WR33,6.0,32.0,187.0,85.2,22.7,82.0
84,Hunter Henry,LAC,77,TE7,10.0,38.0,179.0,86.3,22.0,66.0
85,Tyler Higbee,LAR,78,TE8,9.0,43.0,163.0,86.5,24.5,67.0
86,Jordan Howard,MIA,79,RB30,11.0,47.0,169.0,84.3,19.5,88.0
87,James White,NE,80,RB31,6.0,35.0,242.0,84.7,27.6,93.0
88,Marvin Jones,DET,81,WR34,5.0,51.0,162.0,89.6,17.9,90.0
89,Will Fuller,HOU,82,WR35,8.0,50.0,193.0,90.6,25.6,84.0
90,J.K. Dobbins,BAL,83,RB32,8.0,39.0,188.0,87.9,25.9,94.0
91,Carson Wentz,PHI,84,QB9,9.0,25.0,152.0,88.0,15.8,89.0
93,Drew Brees,NO,85,QB10,6.0,48.0,243.0,91.7,19.7,72.0
94,Brandin Cooks,HOU,86,WR36,8.0,46.0,205.0,95.9,27.4,95.0
95,Tom Brady,TB,87,QB11,13.0,37.0,187.0,93.1,17.5,83.0
96,Hayden Hurst,ATL,88,TE9,10.0,42.0,190.0,96.9,26.3,113.0
97,Tarik Cohen,CHI,89,RB33,11.0,54.0,222.0,92.3,26.3,108.0
98,Phillip Lindsay,DEN,90,RB34,8.0,49.0,232.0,92.6,24.5,92.0
99,Matt Breida,MIA,91,RB35,11.0,53.0,219.0,97.2,25.9,91.0
100,Zack Moss,BUF,92,RB36,11.0,35.0,244.0,105.8,34.6,127.0
101,Matthew Stafford,DET,93,QB12,5.0,36.0,164.0,97.7,16.4,99.0
102,Diontae Johnson,PIT,94,WR37,8.0,64.0,234.0,106.3,26.6,106.0
103,Kerryon Johnson,DET,95,RB37,5.0,40.0,261.0,103.0,33.4,107.0
104,Tevin Coleman,SF,96,RB38,11.0,52.0,179.0,100.8,24.4,111.0
105,Jamison Crowder,NYJ,97,WR38,11.0,69.0,253.0,111.1,32.0,121.0
106,Christian Kirk,ARI,98,WR39,8.0,66.0,205.0,108.4,23.7,120.0
107,Austin Hooper,CLE,99,TE10,9.0,61.0,195.0,114.0,26.4,98.0
108,nan n,nan,nan,,,,,,,
109,Marlon Mack,IND,100,RB39,7.0,49.0,260.0,105.8,33.7,100.0
110,Jared Cook,NO,101,TE11,6.0,48.0,206.0,111.6,27.8,78.0
111,Rob Gronkowski,TB,102,TE12,13.0,42.0,222.0,112.9,28.0,81.0
112,Aaron Rodgers,GB,103,QB13,5.0,24.0,298.0,104.9,26.5,85.0
113,Latavius Murray,NO,104,RB40,6.0,59.0,223.0,107.8,26.5,119.0
114,Mike Gesicki,MIA,105,TE13,11.0,53.0,218.0,114.3,26.9,123.0
116,Deebo Samuel,SF,106,WR40,11.0,65.0,205.0,120.2,28.2,80.0
117,John Brown,BUF,107,WR41,11.0,56.0,187.0,115.4,22.0,97.0
118,Sterling Shepard,NYG,108,WR42,11.0,67.0,216.0,118.2,25.9,129.0
119,Ryquell Armstead,JAC,109,RB41,7.0,68.0,195.0,126.8,37.5,181.0
120,Darius Slayton,NYG,110,WR43,11.0,59.0,229.0,125.1,29.8,105.0
121,Ben Roethlisberger,PIT,111,QB14,8.0,64.0,190.0,117.9,19.8,115.0
122,Daniel Jones,NYG,112,QB15,11.0,53.0,191.0,115.8,20.0,135.0
123,Antonio Gibson,WAS,113,RB42,8.0,44.0,351.0,121.9,46.2,167.0
124,T.J. Hockenson,DET,114,TE14,5.0,69.0,287.0,125.2,27.3,137.0
125,CeeDee Lamb,DAL,115,WR44,10.0,63.0,224.0,122.7,30.2,102.0
126,Jared Goff,LAR,116,QB16,9.0,32.0,289.0,122.9,28.5,149.0
