,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
145,Golden Tate,NYG,134,WR50,11.0,61.0,211.0,131.5,27.3,117.0
146,Jalen Reagor,PHI,135,WR51,9.0,67.0,303.0,131.0,41.5,136.0
147,Tony Pollard,DAL,136,RB48,10.0,74.0,235.0,144.5,23.4,151.0
148,Boston Scott,PHI,137,RB49,9.0,60.0,346.0,147.6,35.8,160.0
149,Kirk Cousins,MIN,138,QB21,7.0,79.0,252.0,147.7,26.7,137.0
150,Breshad Perriman,NYJ,139,WR52,11.0,82.0,239.0,142.2,31.4,140.0
151,Jerry Jeudy,DEN,140,WR53,8.0,82.0,310.0,133.8,33.8,99.0
152,San Francis,DST,141,DST1,11.0,68.0,320.0,141.1,23.1,121.0
153,Blake Jarwin,DAL,142,TE18,10.0,77.0,290.0,144.9,34.1,157.0
154,Gardner Minsh,JAC,143,QB22,7.0,66.0,343.0,156.8,38.8,176.0
155,Henry Rug,LV,144,WR54,6.0,65.0,305.0,140.0,41.1,119.0
156,Pittsburgh (PIT)P,DST,145,DST2,8.0,70.0,228.0,143.8,16.5,173.0
157,Chase Edmonds,ARI,146,RB50,8.0,81.0,243.0,156.6,30.5,172.0
158,Jimmy Garoppolo,SF,147,QB23,11.0,60.0,254.0,156.8,29.9,130.0
159,Baltimore (BAL)B,DST,148,DST3,8.0,75.0,174.0,149.6,13.1,129.0
160,Justin Jefferson,MIN,149,WR55,7.0,72.0,316.0,143.9,41.8,110.0
161,Curtis Samuel,CAR,150,WR56,13.0,79.0,238.0,141.3,30.7,170.0
162,Antonio Gibson,WAS,151,RB51,8.0,49.0,361.0,144.8,62.4,175.0
163,Jack Doyle,IND,152,TE19,7.0,91.0,236.0,153.6,21.1,152.0
165,Robby Anderson,CAR,153,WR57,13.0,66.0,261.0,145.8,32.7,139.0
166,N'Keal Harry,NE,154,WR58,6.0,64.0,276.0,152.9,32.5,156.0
167,Chris Hernd,NYJ,155,TE20,11.0,72.0,285.0,155.8,31.1,188.0
168,Drew Lock,DEN,156,QB24,8.0,93.0,275.0,168.3,31.5,144.0
169,Philip Rivers,IND,157,QB25,7.0,76.0,284.0,165.9,29.2,146.0
170,Eric Ebron,PIT,158,TE21,8.0,94.0,231.0,154.0,24.5,168.0
171,Justin Jackson,LAC,159,RB52,10.0,72.0,280.0,160.3,32.3,165.0
172,Buffalo (BUF)B,DST,160,DST4,11.0,87.0,211.0,159.8,16.4,143.0
173,DeSean Jackson,PHI,161,WR59,9.0,41.0,306.0,152.4,39.9,166.0
174,Damien Harris,NE,162,RB53,6.0,71.0,280.0,162.2,45.9,193.0
175,New Engla,DST,163,DST5,6.0,80.0,234.0,161.4,21.0,163.0
176,Teddy Bridgewater,CAR,164,QB26,13.0,73.0,275.0,172.3,32.1,159.0
177,Allen Lazard,GB,165,WR60,5.0,85.0,310.0,163.3,41.5,192.0
178,Nyheim Hines,IND,166,RB54,7.0,100.0,237.0,171.3,25.9,183.0
179,Sammy Watkins,KC,167,WR61,10.0,71.0,266.0,160.0,28.2,153.0
180,Harrison Butker,KC,168,K1,10.0,92.0,183.0,168.5,15.5,134.0
181,Brandon Aiyuk,SF,169,WR62,11.0,63.0,300.0,157.8,43.5,207.0
182,Justin Tucker,BAL,170,K2,8.0,87.0,184.0,170.6,15.2,135.0
183,A.J. Dillon,GB,171,RB55,5.0,51.0,334.0,168.1,41.6,164.0
184,New Orlea,DST,172,DST6,6.0,83.0,230.0,176.9,23.6,169.0
185,Chicago (CHI)C,DST,173,DST7,11.0,109.0,248.0,171.7,24.6,186.0
186,Sam Darnold,NYJ,174,QB27,11.0,67.0,309.0,185.7,35.7,179.0
187,Wil Lutz,NO,175,K3,6.0,93.0,252.0,180.4,17.0,147.0
188,Carlos Hyde,SEA,176,RB56,6.0,80.0,344.0,178.9,45.6,196.0
189,Derek Carr,LV,177,QB28,6.0,74.0,319.0,189.8,43.5,205.0
190,Parris Campbell,IND,178,WR63,7.0,99.0,257.0,181.5,28.2,195.0
191,Greg Zuerlein,DAL,179,K4,10.0,96.0,204.0,185.6,15.9,162.0
192,Michael Pittm,IND,180,WR64,7.0,64.0,341.0,173.6,45.2,155.0
193,Kansas Ci,DST,181,DST8,10.0,119.0,293.0,183.5,28.9,171.0
194,Ian Thomas,CAR,182,TE22,13.0,108.0,350.0,182.0,41.4,177.0
195,Minnesota (MIN)M,DST,183,DST9,7.0,101.0,278.0,190.0,27.8,167.0
196,Alshon Jeffery,PHI,184,WR65,9.0,72.0,285.0,180.4,44.5,154.0
197,James Washington,PIT,185,WR66,8.0,81.0,295.0,183.4,30.4,202.0
198,Jamaal Williams,GB,186,RB57,5.0,96.0,322.0,183.9,39.0,178.0
200,Los Angel,DST,187,DST10,9.0,89.0,290.0,189.3,30.8,200.0
201,Hunter Renfrow,LV,188,WR67,6.0,75.0,332.0,196.7,36.9,190.0
202,Joshua Kelley,LAC,189,RB58,10.0,65.0,348.0,188.6,47.5,228.0
203,Corey Davis,TEN,190,WR68,7.0,87.0,283.0,194.4,26.4,204.0
204,Malcolm Brown,LAR,191,RB59,9.0,110.0,373.0,200.0,38.8,212.0
205,Irv Smi,MIN,192,TE23,7.0,106.0,290.0,196.8,39.0,206.0
206,Greg Olsen,SEA,193,TE24,6.0,70.0,305.0,192.3,37.3,185.0
207,Darrynton Evans,TEN,194,RB60,7.0,92.0,360.0,193.2,44.7,221.0
208,Larry Fitzgerald,ARI,195,WR69,8.0,102.0,280.0,193.5,27.2,198.0
209,Robbie Gould,SF,196,K5,11.0,105.0,299.0,203.8,23.4,161.0
210,Philadelphia (PHI)P,DST,197,DST11,9.0,114.0,311.0,206.2,28.5,224.0
211,Benny Sne,PIT,198,RB61,8.0,107.0,317.0,205.9,36.8,240.0
212,Tyrell Williams,LV,199,WR70,6.0,109.0,286.0,197.5,29.0,208.0
213,nan n,nan,nan,,,,,,,
