,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
157,Dontrell Hilliard,RB,TEN,0,0,0,0,0,9,57,0,1,1,1,0,0,5.8,6.8,6.3
158,Donovan Peoples-Jones,WR,CLE,0,0,0,0,0,0,0,0,3,4,38,0,0,3.8000000000000003,6.800000000000001,5.300000000000001
159,David Johnson,RB,HOU,0,0,0,0,0,5,28,0,3,4,8,0,0,3.6000000000000005,6.6000000000000005,5.1000000000000005
160,CeeDee Lamb,WR,DAL,0,0,0,0,0,0,0,0,2,2,45,0,0,4.5,6.5,5.5
161,Ito Smith,RB,DAL,0,0,0,0,0,1,4,1,0,0,0,0,0,6.4,6.4,6.4
162,A.J. Green,WR,ARI,0,0,0,0,0,0,0,0,4,9,23,0,0,2.3000000000000003,6.300000000000001,4.300000000000001
163,Deonte Harris,WR,NOR,0,0,0,0,0,1,9,0,3,4,24,0,0,3.3000000000000003,6.300000000000001,4.800000000000001
164,Christian Kirk,WR,ARI,0,0,0,0,0,0,0,0,2,3,43,0,0,4.3,6.3,5.3
165,Kendrick Bourne,WR,NWE,0,0,0,0,0,1,8,0,3,4,24,0,0,3.2,6.2,4.7
166,Allen Robinson,WR,CHI,0,0,0,0,0,0,0,0,2,4,22,0,0,2.2,4.2,3.2
167,Jamaal Williams,RB,DET,0,0,0,0,0,13,43,0,1,1,9,0,0,5.2,6.2,5.7
168,Trent Taylor,WR,CIN,0,0,0,0,0,0,0,0,2,3,41,0,0,4.1000000000000005,6.1000000000000005,5.1000000000000005
169,Zach Allen,DE,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
170,Nick Bolton,LB,KAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
171,Samuel Eguavoen,LB,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
172,Trayvon Henderson,S,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
173,George Kittle,TE,SFO,0,0,0,0,0,0,0,0,5,7,10,0,0,1.0,6.0,3.5
174,T.Y. Hilton,WR,IND,0,0,0,0,0,0,0,0,2,5,39,0,0,3.9000000000000004,5.9,4.9
175,Sony Michel,RB,LAR,0,0,0,0,0,21,43,0,1,4,6,0,0,4.9,5.9,5.4
176,Marquise Brown,WR,BAL,0,0,0,0,0,0,0,0,3,8,27,0,0,2.7,5.7,4.2
177,Kyle Rudolph,TE,NYG,0,0,0,0,0,0,0,0,4,6,17,0,0,1.7000000000000002,5.7,3.7
178,Brandin Cooks,WR,HOU,0,0,0,0,0,0,0,0,3,4,26,0,0,2.6,5.6,4.1
179,Jaret Patterson,RB,WAS,0,0,0,0,0,6,21,0,2,2,14,0,0,3.5,5.5,4.5
180,Kenny Golladay,WR,NYG,0,0,0,0,0,0,0,0,3,5,22,0,0,2.2,5.2,3.7
181,Durham Smythe,TE,MIA,0,0,0,0,0,0,0,0,2,2,32,0,0,3.2,5.2,4.2
182,Trayveon Williams,RB,CIN,0,0,0,0,0,9,38,0,1,2,4,0,0,4.2,5.2,4.7
183,Taylor Heinicke,QB,WAS,120,0,0,18,9,2,3,0,0,0,0,0,0,5.1,5.1,5.1
184,Jason Huntley,RB,PHI,0,0,0,0,0,13,51,0,0,1,0,0,0,5.1000000000000005,5.1000000000000005,5.1000000000000005
185,Van Jefferson,WR,LAR,0,0,0,0,0,0,0,0,2,3,31,0,0,3.1,5.1,4.1
186,Jerry Jeudy,WR,DEN,0,0,0,0,0,0,0,0,2,5,30,0,0,3.0,5.0,4.0
187,Jalen Reagor,WR,PHI,0,0,0,0,0,3,10,0,2,3,19,0,0,2.9000000000000004,4.9,3.9000000000000004
188,Demarcus Robinson,WR,KAN,0,0,0,0,0,0,0,0,3,6,19,0,0,1.9000000000000001,4.9,3.4000000000000004
189,Mo Alie-Cox,TE,IND,0,0,0,0,0,0,0,0,2,3,27,0,0,2.7,4.7,3.7
190,Devonta Freeman,RB,BAL,0,0,0,0,0,5,21,0,2,2,6,0,0,2.7,4.7,3.7
191,Jalen Richard,RB,LVR,0,0,0,0,0,2,24,0,2,2,3,0,0,2.7,4.7,3.7
192,Devontae Booker,RB,NYG,0,0,0,0,0,8,14,0,2,2,12,0,0,2.6000000000000005,4.6000000000000005,3.6000000000000005
193,Ja'Marr Chase,WR,CIN,0,0,0,0,0,0,0,0,2,4,26,0,0,2.6,4.6,3.6
194,Rhamondre Stevenson,RB,NWE,0,0,0,0,0,4,34,0,1,2,2,0,0,3.6000000000000005,4.6000000000000005,4.1000000000000005
195,Mitchell Wilcox,TE,CIN,0,0,0,0,0,0,0,0,3,5,16,0,0,1.6,4.6,3.1
196,Jamycal Hasty,RB,SFO,0,0,0,0,0,1,4,0,2,3,21,0,0,2.5,4.5,3.5
197,Jonathan Williams,RB,WAS,0,0,0,0,0,7,45,0,0,0,0,0,0,4.5,4.5,4.5
198,Jacob Hollister,TE,JAX,0,0,0,0,0,0,0,0,3,3,14,0,0,1.4000000000000001,4.4,2.9000000000000004
199,Cam Akers,RB,LAR,0,0,0,0,0,5,3,0,3,3,10,0,0,1.3,4.3,2.8
200,Hayden Hurst,TE,ATL,0,0,0,0,0,0,0,0,1,1,33,0,0,3.3000000000000003,4.300000000000001,3.8000000000000003
201,Rashod Bateman,WR,BAL,0,0,0,0,0,0,0,0,2,4,22,0,0,2.2,4.2,3.2
202,Mike Gesicki,TE,MIA,0,0,0,0,0,0,0,0,2,3,22,0,0,2.2,4.2,3.2
203,Equanimeous St. Brown,WR,GNB,0,0,0,0,0,0,0,0,2,5,22,0,0,2.2,4.2,3.2
204,Darren Waller,TE,LVR,0,0,0,0,0,0,0,0,2,9,22,0,0,2.2,4.2,3.2
205,Myles Gaskin,RB,MIA,0,0,0,0,0,1,-1,0,3,3,11,0,0,1.0,4.0,2.5
206,Phillip Lindsay,RB,MIA,0,0,0,0,0,11,40,0,0,0,0,0,0,4.0,4.0,4.0
207,Nyheim Hines,RB,IND,0,0,0,0,0,0,0,0,2,3,19,0,0,1.9000000000000001,3.9000000000000004,2.9000000000000004
208,Odell Beckham Jr.,WR,LAR,0,0,0,0,0,0,0,0,2,5,18,0,0,1.8,3.8,2.8
209,Mike Davis,RB,ATL,0,0,0,0,0,6,30,0,3,3,-2,0,2,-1.2000000000000002,1.7999999999999998,0.2999999999999998
210,Travis Homer,RB,SEA,0,0,0,0,0,1,4,0,1,3,23,0,0,2.7,3.7,3.2
211,Antoine Wesley,WR,ARI,0,0,0,0,0,0,0,0,2,4,17,0,0,1.7000000000000002,3.7,2.7
212,Dominique Dafney,TE,GNB,0,0,0,0,0,0,0,0,1,1,26,0,0,2.6,3.6,3.1
213,Jimmy Graham,TE,CHI,0,0,0,0,0,0,0,0,2,2,16,0,0,1.6,3.6,2.6
214,Lil'Jordan Humphrey,WR,NOR,0,0,0,0,0,0,0,0,1,1,26,0,0,2.6,3.6,3.1
215,Juwann Winfree,WR,GNB,0,0,0,0,0,0,0,0,3,3,16,0,1,-0.3999999999999999,2.6,1.1
216,Zack Moss,RB,BUF,0,0,0,0,0,5,8,0,2,2,6,0,0,1.4000000000000001,3.4000000000000004,2.4000000000000004
217,Colby Parkinson,TE,SEA,0,0,0,0,0,0,0,0,2,3,14,0,0,1.4000000000000001,3.4000000000000004,2.4000000000000004
218,Nelson Agholor,WR,NWE,0,0,0,0,0,0,0,0,1,3,23,0,0,2.3000000000000003,3.3000000000000003,2.8000000000000003
219,Marquise Goodwin,WR,CHI,0,0,0,0,0,0,0,0,2,3,13,0,0,1.3,3.3,2.3
220,Cameron Brate,TE,TAM,0,0,0,0,0,0,0,0,2,3,12,0,0,1.2000000000000002,3.2,2.2
221,DeVante Parker,WR,MIA,0,0,0,0,0,0,0,0,2,4,12,0,0,1.2000000000000002,3.2,2.2
222,Alexander Mattison,RB,MIN,0,0,0,0,0,5,18,0,1,1,3,0,0,2.1,3.1,2.6
