,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Chicago Bears,20078.98,15.0,14924.98,17.0,17501.98,15.0,3736.6000000000004,15.0,3258.6800000000003,17.0,13083.699999999999,14.0,10506.7,15.0,7929.7,17.0
San Francisco 49ers,20062.04,14.0,15022.040000000003,18.0,17542.04,17.0,4061.0000000000005,28.0,3193.4399999999996,15.0,12807.6,5.0,10287.599999999999,8.0,7767.599999999999,13.0
Tampa Bay Buccaneers,19934.059999999998,13.0,14549.060000000003,10.0,17241.559999999998,12.0,3710.7000000000003,13.0,3116.96,9.0,13106.4,16.0,10413.899999999998,14.0,7721.4,8.0
Baltimore Ravens,19854.219999999998,12.0,14665.220000000001,13.0,17259.72,13.0,3745.3999999999996,17.0,3158.5200000000004,13.0,12950.3,11.0,10355.8,11.0,7761.300000000001,12.0
Seattle Seahawks,19778.86,11.0,14634.860000000002,12.0,17206.86,11.0,3905.4999999999995,24.0,3108.96,7.0,12764.4,4.0,10192.4,4.0,7620.400000000001,5.0
Pittsburgh Steelers,19769.1,10.0,14600.1,11.0,17184.6,10.0,3705.7000000000003,12.0,3156.3999999999996,12.0,12907.0,8.0,10322.5,9.0,7738.0,9.0
Miami Dolphins,19728.46,9.0,14498.46,8.0,17113.46,9.0,3599.4000000000005,8.0,3143.1600000000008,11.0,12985.9,12.0,10370.9,12.0,7755.900000000001,11.0
Minnesota Vikings,19690.46,8.0,14511.460000000001,9.0,17100.960000000003,8.0,3737.3999999999996,16.0,3085.16,6.0,12867.9,6.0,10278.399999999998,7.0,7688.9,7.0
Detroit Lions,19546.86,7.0,14356.86,7.0,16951.86,7.0,3502.3,5.0,3110.16,8.0,12934.4,10.0,10339.4,10.0,7744.400000000001,10.0
Carolina Panthers,19470.02,6.0,14149.019999999999,3.0,16809.52,3.0,3488.000000000001,4.0,3047.72,4.0,12934.3,9.0,10273.800000000001,6.0,7613.3,4.0
Cleveland Browns,19448.18,5.0,14182.179999999998,4.0,16815.179999999997,4.0,3486.500000000001,3.0,3070.4800000000005,5.0,12891.199999999999,7.0,10258.2,5.0,7625.2,6.0
Atlanta Falcons,19445.28,4.0,14266.280000000002,6.0,16855.780000000002,6.0,3713.7,14.0,3017.8799999999997,2.0,12713.699999999997,2.0,10124.199999999999,3.0,7534.700000000001,3.0
Buffalo Bills,19429.1,3.0,14222.099999999997,5.0,16825.6,5.0,3306.8,1.0,3135.8,10.0,12986.5,13.0,10383.0,13.0,7779.500000000001,14.0
Cincinnati Bengals,19145.939999999995,2.0,13920.939999999997,1.0,16533.44,2.0,3402.2000000000003,2.0,3011.6400000000003,1.0,12732.099999999999,3.0,10119.6,2.0,7507.1,2.0
New England Patriots,19033.38,1.0,14021.38,2.0,16527.379999999997,1.0,3570.3,6.0,3038.8800000000006,3.0,12424.2,1.0,9918.2,1.0,7412.2,1.0
