,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Houston Texans,19041.699999999997,22.0,14020.699999999999,22.0,16531.2,22.0,3661.6,8.0,2992.6000000000004,25.0,12387.500000000002,25.0,9877.000000000002,25.0,7366.5,24.0
Philadelphia Eagles,18970.96,21.0,13993.960000000003,20.0,16482.460000000003,21.0,3722.2,13.0,2965.3600000000006,21.0,12283.4,22.0,9794.9,21.0,7306.399999999999,21.0
Washington Redskins,18963.780000000002,20.0,13958.78,18.0,16461.28,20.0,3625.5,4.0,2962.080000000001,20.0,12376.199999999999,24.0,9873.699999999997,24.0,7371.2,25.0
Buffalo Bills,18868.24,19.0,13990.24,19.0,16429.239999999998,19.0,3834.4,23.0,2924.24,16.0,12109.599999999999,17.0,9670.599999999999,17.0,7231.599999999999,17.0
Denver Broncos,18855.52,18.0,13951.519999999999,17.0,16403.519999999997,17.0,3689.2999999999997,11.0,2992.92,26.0,12173.299999999997,18.0,9721.3,18.0,7269.3,19.0
San Diego Chargers,18837.54,17.0,13844.54,16.0,16341.039999999999,16.0,3637.9,5.0,2935.04,17.0,12264.6,20.0,9768.1,20.0,7271.600000000001,20.0
Miami Dolphins,18808.879999999997,16.0,14001.88,21.0,16405.379999999997,18.0,3985.5,29.0,2894.6799999999994,15.0,11928.699999999999,14.0,9525.199999999999,14.0,7121.700000000001,15.0
New York Jets,18663.98,15.0,13772.98,15.0,16218.48,15.0,3611.1,3.0,2947.68,18.0,12105.199999999999,16.0,9659.699999999999,16.0,7214.2,16.0
San Francisco 49ers,18632.840000000004,14.0,13736.84,14.0,16184.84,14.0,3769.6000000000004,16.0,2860.640000000001,14.0,12002.599999999999,15.0,9554.599999999999,15.0,7106.6,14.0
Pittsburgh Steelers,18473.74,13.0,13634.740000000002,12.0,16054.240000000002,13.0,3723.099999999999,14.0,2833.0400000000004,13.0,11917.6,13.0,9498.1,13.0,7078.6,13.0
New England Patriots,18458.440000000002,12.0,13514.44,11.0,15986.44,11.0,3849.9,25.0,2742.4399999999996,10.0,11866.100000000002,11.0,9394.1,11.0,6922.0999999999985,10.0
Tampa Bay Buccaneers,18429.58,11.0,13636.58,13.0,16033.08,12.0,4013.2999999999997,30.0,2716.0800000000004,9.0,11700.2,8.0,9303.699999999999,9.0,6907.199999999999,9.0
Baltimore Ravens,18296.879999999997,10.0,13425.88,9.0,15861.38,10.0,3780.0,17.0,2699.68,7.0,11817.2,10.0,9381.7,10.0,6946.2,11.0
Cleveland Browns,18273.64,9.0,13377.640000000001,7.0,15825.640000000001,9.0,3605.0,2.0,2781.0399999999995,12.0,11887.599999999999,12.0,9439.599999999999,12.0,6991.6,12.0
Chicago Bears,18182.980000000003,8.0,13430.980000000001,10.0,15806.980000000001,8.0,3820.7,20.0,2708.0800000000004,8.0,11654.2,6.0,9278.2,7.0,6902.2,8.0
Cincinnati Bengals,18147.78,7.0,13321.779999999999,6.0,15734.779999999997,7.0,3660.8999999999996,7.0,2773.6799999999994,11.0,11713.2,9.0,9300.2,8.0,6887.200000000001,7.0
New Orleans Saints,18127.58,6.0,13288.579999999998,5.0,15708.08,5.0,3806.9,18.0,2650.48,6.0,11670.2,7.0,9250.699999999999,6.0,6831.199999999999,6.0
Carolina Panthers,18039.32,5.0,13399.319999999996,8.0,15719.32,6.0,4049.7999999999997,31.0,2648.72,5.0,11340.8,3.0,9020.8,3.0,6700.799999999999,3.0
Atlanta Falcons,17780.600000000002,4.0,13114.599999999999,4.0,15447.6,4.0,3713.2,12.0,2640.4000000000005,4.0,11427.0,4.0,9094.0,4.0,6760.999999999999,5.0
Green Bay Packers,17748.999999999996,3.0,12912.000000000002,2.0,15330.500000000002,3.0,3643.5999999999995,6.0,2540.4,2.0,11565.0,5.0,9146.5,5.0,6728.0,4.0
Minnesota Vikings,17634.98,2.0,12916.980000000001,3.0,15275.980000000003,2.0,3731.4999999999995,15.0,2563.2799999999997,3.0,11340.199999999997,2.0,8981.199999999999,2.0,6622.2,2.0
Detroit Lions,17441.079999999998,1.0,12746.080000000002,1.0,15093.579999999998,1.0,3666.6,9.0,2515.2799999999997,1.0,11259.199999999997,1.0,8911.699999999997,1.0,6564.199999999999,1.0
