,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
San Francisco 49ers,19854.92,10.0,14796.919999999998,10.0,17325.92,10.0,4120.2,31.0,3099.9199999999996,6.0,12634.800000000001,5.0,10105.800000000001,5.0,7576.800000000002,5.0
Jacksonville Jaguars,19790.5,9.0,14736.500000000002,9.0,17263.5,9.0,3986.9,22.0,3163.6,10.0,12640.0,6.0,10113.0,6.0,7586.0,6.0
Indianapolis Colts,19644.6,8.0,14571.6,8.0,17108.100000000002,8.0,3827.1,12.0,3123.0,8.0,12694.5,7.0,10158.0,7.0,7621.5,8.0
St. Louis Rams,19581.96,7.0,14368.96,6.0,16975.459999999995,6.0,3502.7999999999993,1.0,3109.76,7.0,12969.4,11.0,10362.9,11.0,7756.4000000000015,11.0
Arizona Cardinals,19543.660000000003,6.0,14491.66,7.0,17017.66,7.0,3676.0,5.0,3134.7600000000007,9.0,12732.9,10.0,10206.9,10.0,7680.900000000001,10.0
Seattle Seahawks,19477.820000000003,5.0,14355.82,5.0,16916.82,5.0,3662.7,4.0,3090.3200000000006,5.0,12724.800000000001,9.0,10163.800000000001,8.0,7602.800000000001,7.0
Pittsburgh Steelers,19104.359999999997,4.0,14102.359999999999,4.0,16603.36,4.0,3840.9,13.0,2951.5600000000004,3.0,12311.9,3.0,9810.900000000001,3.0,7309.9,4.0
Cleveland Browns,18963.66,3.0,13882.66,3.0,16423.16,3.0,3616.699999999999,3.0,2964.56,4.0,12382.400000000003,4.0,9841.900000000001,4.0,7301.400000000002,3.0
Baltimore Ravens,18811.66,2.0,13876.66,2.0,16344.16,2.0,3820.5000000000005,10.0,2917.76,2.0,12073.400000000001,2.0,9605.9,2.0,7138.399999999999,2.0
Cincinnati Bengals,18731.3,1.0,13778.3,1.0,16254.8,1.0,3811.1999999999994,9.0,2876.6,1.0,12043.500000000002,1.0,9567.0,1.0,7090.500000000001,1.0
