,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
St. Louis Rams,19174.28,22.0,14191.28,22.0,16682.78,21.0,3808.5999999999995,11.0,2994.4799999999996,25.0,12371.199999999999,29.0,9879.7,27.0,7388.200000000001,26.0
Carolina Panthers,19172.08,21.0,14311.08,26.0,16741.579999999998,25.0,3743.5999999999995,9.0,3065.2799999999997,28.0,12363.199999999999,28.0,9932.699999999999,30.0,7502.2,30.0
Baltimore Ravens,19117.16,20.0,14183.159999999996,21.0,16650.159999999996,20.0,3981.5,21.0,2926.7599999999993,22.0,12208.899999999998,20.0,9741.9,20.0,7274.9,19.0
Arizona Cardinals,19031.579999999998,19.0,14116.580000000002,19.0,16574.079999999998,19.0,3916.8,18.0,2917.08,19.0,12197.700000000003,17.0,9740.200000000003,19.0,7282.700000000001,20.0
Minnesota Vikings,18985.92,18.0,14069.92,18.0,16527.92,18.0,3837.6,14.0,2947.52,23.0,12200.800000000001,18.0,9742.8,21.0,7284.799999999999,21.0
Oakland Raiders,18963.78,17.0,13976.779999999999,16.0,16470.28,17.0,3887.900000000001,16.0,2857.68,15.0,12218.199999999999,22.0,9724.699999999999,17.0,7231.199999999999,16.0
Tampa Bay Buccaneers,18866.320000000003,16.0,14019.319999999998,17.0,16442.82,16.0,3656.2999999999997,6.0,2997.7199999999993,26.0,12212.3,21.0,9788.800000000001,24.0,7365.300000000002,25.0
New England Patriots,18858.340000000004,15.0,13813.34,12.0,16335.84,14.0,3927.5,19.0,2816.24,11.0,12114.6,14.0,9592.1,12.0,7069.599999999999,11.0
San Diego Chargers,18811.66,14.0,13933.66,15.0,16372.66,15.0,4118.800000000001,28.0,2765.960000000001,9.0,11926.9,9.0,9487.9,10.0,7048.899999999999,10.0
San Francisco 49ers,18755.7,13.0,13906.700000000003,13.0,16331.200000000003,13.0,3955.8999999999996,20.0,2828.8000000000006,12.0,11971.000000000002,11.0,9546.5,11.0,7121.999999999999,12.0
Green Bay Packers,18697.74,12.0,13647.74,11.0,16172.739999999996,11.0,3654.7,5.0,2837.44,13.0,12205.6,19.0,9680.6,15.0,7155.600000000001,13.0
Houston Texans,18690.5,11.0,13927.5,14.0,16309.0,12.0,4377.0,32.0,2704.9999999999995,7.0,11608.499999999998,2.0,9227.0,2.0,6845.5,4.0
Detroit Lions,18626.180000000004,10.0,13636.180000000002,10.0,16131.180000000002,10.0,3490.8,1.0,2858.6799999999994,16.0,12276.699999999999,23.0,9781.7,23.0,7286.700000000001,22.0
Miami Dolphins,18544.7,9.0,13512.699999999999,6.0,16028.699999999999,8.0,3915.7000000000003,17.0,2670.0,4.0,11958.999999999998,10.0,9443.0,9.0,6927.0,7.0
Cleveland Browns,18507.279999999995,8.0,13596.279999999999,8.0,16051.779999999997,9.0,3576.9999999999995,2.0,2840.08,14.0,12090.199999999997,12.0,9634.699999999999,14.0,7179.199999999999,15.0
Denver Broncos,18359.059999999998,7.0,13620.059999999998,9.0,15989.559999999998,7.0,4031.6000000000004,25.0,2689.56,5.0,11637.9,3.0,9268.4,5.0,6898.900000000001,6.0
Tennessee Titans,18353.38,6.0,13546.380000000003,7.0,15949.880000000001,6.0,4012.6,23.0,2699.08,6.0,11641.699999999997,4.0,9238.199999999999,4.0,6834.7,3.0
Kansas City Chiefs,18250.559999999998,5.0,13472.560000000001,5.0,15861.560000000001,5.0,3826.900000000001,13.0,2710.7599999999998,8.0,11712.900000000001,6.0,9323.9,6.0,6934.900000000001,8.0
Pittsburgh Steelers,18232.66,4.0,13464.660000000002,4.0,15848.660000000002,4.0,3653.0000000000005,4.0,2774.7599999999998,10.0,11804.9,8.0,9420.899999999998,8.0,7036.900000000001,9.0
New York Jets,18171.920000000002,3.0,13318.92,3.0,15745.42,3.0,3862.2000000000003,15.0,2655.9199999999996,2.0,11653.8,5.0,9227.3,3.0,6800.799999999999,1.0
Buffalo Bills,18051.28,2.0,13156.28,1.0,15603.78,2.0,3591.2000000000007,3.0,2666.8800000000006,3.0,11793.200000000003,7.0,9345.699999999999,7.0,6898.2,5.0
Cincinnati Bengals,17859.4,1.0,13164.400000000001,2.0,15511.900000000001,1.0,3680.500000000001,7.0,2649.4,1.0,11529.499999999998,1.0,9182.0,1.0,6834.5,2.0
