,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Washington Redskins,20329.620000000003,13.0,14869.619999999999,11.0,17599.620000000003,13.0,3442.7000000000007,1.0,3387.1200000000003,21.0,13499.8,22.0,10769.8,21.0,8039.8,18.0
Pittsburgh Steelers,20291.640000000003,12.0,14861.64,10.0,17576.640000000003,11.0,3684.3999999999996,18.0,3292.6400000000003,9.0,13314.599999999999,10.0,10599.599999999999,10.0,7884.6,10.0
Baltimore Ravens,20256.08,11.0,14890.08,12.0,17573.08,10.0,3719.4999999999995,23.0,3335.8799999999997,13.0,13200.700000000003,7.0,10517.699999999999,7.0,7834.699999999999,8.0
Chicago Bears,20232.600000000006,10.0,14710.599999999997,6.0,17471.6,8.0,3551.399999999999,6.0,3275.1999999999994,6.0,13406.0,13.0,10644.999999999998,12.0,7883.999999999998,9.0
Tennessee Titans,20195.9,9.0,14973.9,16.0,17584.899999999998,12.0,3867.7999999999993,30.0,3282.5999999999995,7.0,13045.499999999998,4.0,10434.499999999998,5.0,7823.5,6.0
Los Angeles Rams,20189.800000000007,8.0,14826.800000000001,9.0,17508.300000000003,9.0,3540.1999999999994,5.0,3333.6,12.0,13316.000000000002,11.0,10634.5,11.0,7952.999999999999,14.0
San Francisco 49ers,20111.820000000007,7.0,14747.82,8.0,17429.820000000003,7.0,3530.9,3.0,3309.12,11.0,13271.8,9.0,10589.8,9.0,7907.8,11.0
Houston Texans,20047.660000000003,6.0,14737.66,7.0,17392.660000000003,6.0,3673.8999999999996,17.0,3237.36,5.0,13136.4,6.0,10481.400000000001,6.0,7826.400000000001,7.0
Detroit Lions,20027.739999999998,5.0,14568.74,3.0,17298.239999999998,5.0,3493.1,2.0,3283.0399999999995,8.0,13251.599999999999,8.0,10522.1,8.0,7792.6,5.0
Indianapolis Colts,19931.94,4.0,14647.939999999999,5.0,17289.94,4.0,3667.7,16.0,3230.64,4.0,13033.599999999997,2.0,10391.599999999999,4.0,7749.6,4.0
Cincinnati Bengals,19893.12,3.0,14569.12,4.0,17231.12,3.0,3647.6,13.0,3200.72,3.0,13044.800000000001,3.0,10382.800000000001,3.0,7720.8,3.0
Green Bay Packers,19767.300000000003,2.0,14266.300000000001,1.0,17016.800000000003,1.0,3568.8,7.0,3126.9999999999995,2.0,13071.5,5.0,10321.0,2.0,7570.5,1.0
Cleveland Browns,19718.8,1.0,14448.8,2.0,17083.8,2.0,3749.7000000000003,26.0,3110.5999999999995,1.0,12858.500000000002,1.0,10223.500000000002,1.0,7588.500000000001,2.0
