,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Tampa Bay Buccaneers,19057.019999999997,21.0,14108.020000000002,21.0,16582.52,21.0,3823.4999999999995,21.0,2940.72,21.0,12292.800000000001,19.0,9818.300000000001,20.0,7343.8,21.0
Minnesota Vikings,19038.239999999998,20.0,14009.240000000002,20.0,16523.740000000005,20.0,3909.9,22.0,2847.24,16.0,12281.100000000002,18.0,9766.600000000002,17.0,7252.099999999999,16.0
Green Bay Packers,18989.9,19.0,13858.900000000001,19.0,16424.400000000005,19.0,3938.7000000000007,24.0,2785.2000000000003,14.0,12266.000000000002,16.0,9700.5,14.0,7134.999999999999,14.0
Detroit Lions,18846.52,18.0,13795.520000000004,16.0,16321.020000000004,18.0,3559.6,8.0,2911.1200000000003,19.0,12375.800000000001,21.0,9850.300000000001,21.0,7324.799999999999,19.0
Miami Dolphins,18767.700000000004,17.0,13821.7,18.0,16294.700000000003,17.0,3549.4000000000005,6.0,2937.8,20.0,12280.500000000004,17.0,9807.500000000002,18.0,7334.499999999999,20.0
Chicago Bears,18754.440000000002,16.0,13670.440000000002,14.0,16212.440000000002,15.0,3553.9000000000005,7.0,2840.44,15.0,12360.100000000002,20.0,9818.1,19.0,7276.099999999999,17.0
Buffalo Bills,18747.620000000003,15.0,13795.62,17.0,16271.620000000003,16.0,3629.6,12.0,2889.7200000000003,18.0,12228.300000000003,15.0,9752.300000000001,16.0,7276.299999999999,18.0
Indianapolis Colts,18625.760000000002,14.0,13720.760000000004,15.0,16173.260000000006,14.0,3604.3000000000006,10.0,2867.56,17.0,12153.9,14.0,9701.4,15.0,7248.9,15.0
New England Patriots,18506.639999999996,13.0,13613.640000000001,13.0,16060.140000000003,13.0,3767.9,17.0,2757.64,13.0,11981.100000000002,12.0,9534.6,12.0,7088.0999999999985,12.0
Philadelphia Eagles,18248.5,12.0,13608.5,12.0,15928.499999999998,12.0,4114.1,29.0,2710.4,10.0,11424.0,7.0,9104.000000000002,7.0,6784.000000000001,8.0
New York Giants,18085.920000000002,11.0,13489.920000000002,11.0,15787.92,11.0,4343.900000000001,31.0,2577.7200000000003,3.0,11164.3,3.0,8866.300000000001,3.0,6568.300000000001,2.0
New York Jets,18066.420000000002,10.0,13127.42,8.0,15596.920000000002,9.0,3306.9999999999995,3.0,2724.1200000000003,12.0,12035.300000000001,13.0,9565.800000000001,13.0,7096.299999999999,13.0
Arizona Cardinals,18046.000000000004,9.0,13288.000000000002,10.0,15667.0,10.0,3698.7000000000003,14.0,2711.8,11.0,11635.500000000002,10.0,9256.500000000002,11.0,6877.5,11.0
Dallas Cowboys,17961.88,8.0,13086.88,7.0,15524.38,8.0,3626.0000000000005,11.0,2659.6800000000003,8.0,11676.2,11.0,9238.7,10.0,6801.200000000001,9.0
Washington Redskins,17885.42,7.0,13057.420000000002,6.0,15471.42,7.0,3795.2,19.0,2564.92,2.0,11525.3,8.0,9111.3,8.0,6697.3,5.0
Baltimore Ravens,17590.379999999997,6.0,13170.38,9.0,15380.38,6.0,3936.0,23.0,2628.6800000000003,5.0,11025.7,2.0,8815.7,2.0,6605.700000000001,4.0
Tennessee Titans,17568.94,5.0,12929.94,4.0,15249.439999999999,5.0,3547.9,5.0,2657.4399999999996,7.0,11363.599999999999,6.0,9044.099999999999,5.0,6724.6,6.0
Jacksonville Jaguars,17528.84,4.0,12954.84,5.0,15241.84,4.0,3778.9,18.0,2578.8399999999997,4.0,11171.1,4.0,8884.100000000002,4.0,6597.1,3.0
Cleveland Browns,17378.82,3.0,12665.82,2.0,15022.32,3.0,3122.1,1.0,2685.92,9.0,11570.8,9.0,9214.3,9.0,6857.8,10.0
Pittsburgh Steelers,17279.920000000002,2.0,12684.92,3.0,14982.420000000002,2.0,3273.0,2.0,2657.1200000000003,6.0,11349.800000000001,5.0,9052.300000000001,6.0,6754.8,7.0
Cincinnati Bengals,17006.3,1.0,12532.3,1.0,14769.3,1.0,3644.6,13.0,2450.2,1.0,10911.5,1.0,8674.5,1.0,6437.500000000001,1.0
