,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Seattle Seahawks,21258.240000000005,13.0,15682.240000000002,13.0,18470.24,13.0,3621.6999999999994,16.0,3574.44,13.0,14062.100000000002,14.0,11274.1,14.0,8486.1,14.0
Buffalo Bills,21143.36,12.0,15580.36,12.0,18361.86,12.0,3487.9,5.0,3631.560000000001,23.0,14023.900000000001,11.0,11242.400000000001,12.0,8460.9,13.0
Chicago Bears,21136.280000000002,11.0,15490.279999999999,10.0,18313.28,10.0,3615.2000000000007,15.0,3484.88,5.0,14036.2,12.0,11213.2,11.0,8390.2,11.0
San Francisco 49ers,21116.600000000002,10.0,15552.600000000002,11.0,18334.600000000002,11.0,3609.7999999999997,14.0,3560.8,12.0,13946.000000000002,10.0,11164.000000000002,10.0,8382.0,10.0
St. Louis Rams,20892.98,9.0,15383.98,9.0,18138.48,9.0,3498.6,6.0,3532.68,8.0,13861.700000000003,8.0,11107.2,9.0,8352.699999999999,9.0
Kansas City Chiefs,20889.24,8.0,15336.24,8.0,18112.74,8.0,3518.3999999999996,7.0,3536.2400000000002,9.0,13834.600000000002,7.0,11058.100000000002,7.0,8281.599999999999,7.0
New York Jets,20881.04,7.0,15335.039999999999,7.0,18108.04,7.0,3558.1,9.0,3504.84,6.0,13818.100000000002,6.0,11045.1,6.0,8272.099999999999,6.0
New England Patriots,20863.960000000003,6.0,15323.960000000001,6.0,18093.960000000003,6.0,3577.6000000000004,10.0,3512.96,7.0,13773.400000000003,5.0,11003.400000000003,5.0,8233.4,5.0
Miami Dolphins,20814.699999999997,5.0,15214.7,5.0,18014.7,5.0,3373.0000000000005,2.0,3550.2000000000003,11.0,13891.500000000004,9.0,11091.500000000002,8.0,8291.5,8.0
Arizona Cardinals,20670.72,4.0,15153.720000000001,4.0,17912.22,4.0,3463.9,4.0,3456.5200000000004,3.0,13750.300000000001,4.0,10991.800000000003,4.0,8233.300000000001,4.0
San Diego Chargers,20602.580000000005,3.0,15013.58,2.0,17808.08,3.0,3380.8999999999996,3.0,3476.4800000000005,4.0,13745.200000000003,3.0,10950.700000000003,3.0,8156.2,3.0
Denver Broncos,20426.240000000005,2.0,15047.24,3.0,17736.740000000005,2.0,3605.8999999999996,13.0,3419.2400000000002,2.0,13401.100000000002,1.0,10711.6,1.0,8022.099999999999,2.0
Oakland Raiders,20206.000000000007,1.0,14702.0,1.0,17454.000000000007,1.0,3331.9999999999995,1.0,3366.0,1.0,13508.000000000004,2.0,10756.000000000002,2.0,8003.999999999999,1.0
