Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
167,Brent Celek,PHI,TE,25.0,16.0,15.0,79.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,4.0,117.1,0.0,0.0,0.0
168,Devin Hester,CHI,WR,28.0,16.0,13.0,73.0,40.0,0.0,0.0,0.0,30.0,0.0,7.0,475.0,4.0,114.5,0.0,0.0,0.0
169,John Kuhn,GNB,RB,28.0,16.0,2.0,18.0,15.0,0.0,0.0,0.0,281.0,4.0,84.0,97.0,2.0,88.80000000000004,0.0,1.0,0.0
170,Tony Moeaki,KAN,TE,23.0,15.0,15.0,73.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,3.0,120.6,0.0,0.0,0.0
171,Jermaine Gresham,CIN,TE,22.0,15.0,10.0,83.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,4.0,121.1,0.0,2.0,1.0
172,Steve Smith,NYG,WR,25.0,9.0,7.0,75.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,3.0,118.9,0.0,0.0,0.0
173,Brian Hartline,MIA,WR,24.0,12.0,11.0,73.0,43.0,0.0,0.0,0.0,27.0,0.0,2.0,615.0,1.0,111.2,0.0,1.0,1.0
174,Jordy Nelson,GNB,WR,25.0,16.0,4.0,64.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,2.0,109.2,0.0,3.0,3.0
175,Greg Olsen,CHI,TE,25.0,16.0,13.0,70.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,5.0,109.4,0.0,2.0,1.0
176,Marcel Reece,OAK,RB,25.0,16.0,10.0,43.0,25.0,0.0,0.0,0.0,122.0,1.0,30.0,333.0,3.0,92.5,0.0,1.0,1.0
177,David Gettis,CAR,WR,23.0,15.0,13.0,67.0,37.0,0.0,0.0,0.0,2.0,0.0,3.0,508.0,3.0,106.0,0.0,1.0,0.0
178,Randy Moss,3TM,WR,33.0,16.0,11.0,63.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,5.0,97.3,0.0,0.0,0.0
