,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
10,Seattle Seahawks,347.0,5653.0,955.0,5.9,26.0,14.0,323.0,355.0,546.0,3842.0,26.0,12.0,6.5,201.0,366.0,1811.0,9.0,4.9,91.0,108.0,981.0,31.0,35.2,14.2,-61.32,233.68,895.2,717.7,540.2,207.1,15.0,14.0,13.0,14.0,7.0,1335.98,11.0,1158.48,10.0,980.98,10.0
11,Philadelphia Eagles,348.0,5859.0,1002.0,5.8,17.0,7.0,308.0,417.0,626.0,4308.0,22.0,10.0,6.4,215.0,332.0,1551.0,14.0,4.7,71.0,115.0,995.0,22.0,38.6,9.1,-90.19,240.32,979.8,771.3,562.8,225.1,20.0,27.0,26.0,19.0,11.0,1445.2199999999998,23.0,1236.7199999999998,19.0,1028.2199999999998,17.0
12,Denver Broncos,349.0,5842.0,1022.0,5.7,28.0,11.0,318.0,353.0,549.0,3929.0,26.0,17.0,6.6,197.0,429.0,1913.0,11.0,4.5,85.0,123.0,1006.0,36.0,34.1,14.1,-39.47,227.16,901.9,725.4,548.9,235.3,13.0,16.0,16.0,17.0,14.0,1364.3600000000001,13.0,1187.8600000000001,14.0,1011.36,16.0
13,New Orleans Saints,353.0,5585.0,978.0,5.7,24.0,12.0,333.0,384.0,573.0,4302.0,30.0,12.0,6.9,224.0,356.0,1283.0,12.0,3.6,72.0,85.0,814.0,37.0,36.0,14.6,-83.8,268.08000000000004,994.2,802.2,610.2,176.3,27.0,28.0,28.0,28.0,3.0,1438.5800000000002,22.0,1246.5800000000002,22.0,1054.5800000000002,20.0
14,Washington Redskins,359.0,5654.0,996.0,5.7,26.0,11.0,330.0,362.0,537.0,3794.0,27.0,15.0,6.5,197.0,413.0,1860.0,12.0,4.5,109.0,102.0,791.0,24.0,35.1,14.6,-87.52,229.76,903.4,722.4,541.4,236.0,14.0,17.0,14.0,15.0,15.0,1369.1599999999999,14.0,1188.1599999999999,15.0,1007.16,13.0
15,Detroit Lions,360.0,5360.0,942.0,5.7,14.0,7.0,315.0,323.0,496.0,3599.0,29.0,7.0,6.7,191.0,403.0,1761.0,11.0,4.4,88.0,94.0,886.0,36.0,34.5,7.0,-100.68,245.96,856.9,695.4,533.9,228.1,21.0,8.0,10.0,12.0,12.0,1330.96,10.0,1169.46,11.0,1007.96,14.0
16,Pittsburgh Steelers,360.0,5235.0,987.0,5.3,15.0,7.0,317.0,362.0,566.0,3697.0,27.0,8.0,6.0,200.0,369.0,1538.0,13.0,4.2,84.0,136.0,1170.0,33.0,33.7,8.2,-52.4,239.88,893.7,712.7,531.7,217.8,19.0,13.0,12.0,11.0,9.0,1351.38,12.0,1170.38,12.0,989.3800000000001,12.0
17,Buffalo Bills,374.0,4706.0,968.0,4.9,27.0,11.0,293.0,313.0,492.0,2867.0,22.0,16.0,5.4,157.0,440.0,1839.0,17.0,4.2,111.0,99.0,976.0,25.0,33.3,14.3,20.12,170.68,731.7,575.2,418.7,263.9,3.0,3.0,3.0,3.0,20.0,1166.28,2.0,1009.78,3.0,853.28,4.0
18,Carolina Panthers,382.0,5651.0,948.0,6.0,23.0,10.0,315.0,353.0,529.0,3847.0,32.0,13.0,6.8,185.0,384.0,1804.0,13.0,4.7,110.0,91.0,805.0,20.0,38.0,12.9,-112.34,255.88,929.7,753.2,576.7,238.39999999999998,24.0,22.0,22.0,22.0,16.0,1423.98,21.0,1247.48,23.0,1070.98,23.0
19,Los Angeles Rams,384.0,5737.0,960.0,6.0,30.0,12.0,322.0,347.0,533.0,3780.0,31.0,18.0,6.6,185.0,386.0,1957.0,12.0,5.1,101.0,99.0,852.0,36.0,38.2,16.9,-74.04,239.2,911.0,737.5,564.0,243.7,17.0,19.0,19.0,20.0,18.0,1393.9,18.0,1220.4,18.0,1046.9,19.0
20,Cleveland Browns,392.0,6288.0,1122.0,5.6,31.0,14.0,377.0,393.0,626.0,4125.0,21.0,17.0,6.2,216.0,459.0,2163.0,20.0,4.7,130.0,119.0,990.0,31.0,35.3,15.4,-46.08,215.0,931.5,735.0,538.5,308.3,10.0,23.0,18.0,13.0,28.0,1454.8,24.0,1258.3,24.0,1061.8,21.0
21,Green Bay Packers,400.0,5670.0,1017.0,5.6,15.0,8.0,331.0,336.0,527.0,3752.0,30.0,7.0,6.6,199.0,446.0,1918.0,15.0,4.3,100.0,97.0,792.0,32.0,37.9,8.2,-105.4,256.08000000000004,891.2,723.2,555.2,265.8,25.0,12.0,15.0,18.0,21.0,1413.0800000000002,19.0,1245.0800000000002,21.0,1077.0800000000002,24.0
22,New York Giants,412.0,5942.0,1034.0,5.7,21.0,5.0,346.0,362.0,560.0,4044.0,24.0,16.0,6.9,205.0,444.0,1898.0,18.0,4.3,103.0,110.0,919.0,38.0,40.9,11.6,-107.2,225.76,910.4,729.4,548.4,287.8,12.0,18.0,17.0,16.0,24.0,1423.96,20.0,1242.96,20.0,1061.96,22.0
23,Kansas City Chiefs,421.0,6488.0,1109.0,5.9,27.0,12.0,419.0,406.0,632.0,4374.0,30.0,15.0,6.4,247.0,425.0,2114.0,19.0,5.0,129.0,107.0,881.0,43.0,40.8,14.9,-163.28,264.96000000000004,1023.4,820.4,617.4,301.4,26.0,32.0,31.0,30.0,27.0,1589.76,31.0,1386.76,30.0,1183.76,29.0
24,Atlanta Falcons,423.0,6152.0,1031.0,6.0,19.0,4.0,375.0,398.0,585.0,4153.0,33.0,15.0,6.7,226.0,409.0,1999.0,16.0,4.9,115.0,108.0,1001.0,34.0,41.5,10.5,-159.71,268.12,1011.3,812.3,613.3,287.9,28.0,30.0,29.0,29.0,25.0,1567.32,29.0,1368.32,29.0,1169.32,28.0
25,Arizona Cardinals,425.0,5741.0,1065.0,5.4,16.0,9.0,357.0,342.0,506.0,3262.0,21.0,7.0,5.9,186.0,510.0,2479.0,25.0,4.9,139.0,100.0,790.0,32.0,38.0,8.6,-85.72,200.48,794.2,623.2,452.2,379.9,6.0,4.0,4.0,4.0,32.0,1374.58,16.0,1203.58,17.0,1032.58,18.0
26,Miami Dolphins,433.0,6257.0,1024.0,6.1,28.0,7.0,350.0,335.0,508.0,3932.0,31.0,21.0,7.3,195.0,485.0,2325.0,17.0,4.8,116.0,107.0,856.0,39.0,39.9,14.2,-124.79,239.28,914.2,746.7,579.2,320.5,18.0,20.0,20.0,23.0,31.0,1473.98,26.0,1306.48,27.0,1138.98,27.0
27,San Francisco 49ers,435.0,5546.0,1023.0,5.4,7.0,5.0,337.0,344.0,542.0,3732.0,35.0,2.0,6.4,195.0,444.0,1814.0,13.0,4.1,104.0,117.0,1011.0,38.0,39.8,3.9,-126.92,285.28,927.2,755.2,583.2,249.39999999999998,32.0,21.0,24.0,25.0,19.0,1461.88,25.0,1289.88,25.0,1117.88,26.0
28,New York Jets,441.0,6086.0,1061.0,5.7,20.0,7.0,343.0,367.0,582.0,4065.0,29.0,13.0,6.5,201.0,440.0,2021.0,16.0,4.6,104.0,95.0,817.0,38.0,39.1,9.9,-73.31,252.6,947.5,764.0,580.5,284.1,23.0,25.0,25.0,24.0,23.0,1484.2,27.0,1300.7,26.0,1117.2,25.0
29,Cincinnati Bengals,455.0,6618.0,1084.0,6.1,18.0,6.0,372.0,389.0,584.0,4414.0,32.0,12.0,7.1,221.0,466.0,2204.0,17.0,4.7,125.0,113.0,944.0,26.0,46.3,10.2,-164.84,280.56,1022.4,827.9,633.4,310.4,30.0,31.0,32.0,32.0,29.0,1613.3600000000001,32.0,1418.8600000000001,32.0,1224.3600000000001,32.0
30,Tampa Bay Buccaneers,464.0,6134.0,998.0,6.1,17.0,8.0,356.0,387.0,534.0,4151.0,34.0,9.0,7.3,209.0,426.0,1983.0,19.0,4.7,122.0,127.0,1156.0,25.0,40.7,8.2,-152.18,284.03999999999996,1006.1,812.6,619.1,296.3,31.0,29.0,30.0,31.0,26.0,1586.44,30.0,1392.94,31.0,1199.44,31.0
31,Oakland Raiders,467.0,6102.0,973.0,6.3,17.0,3.0,317.0,299.0,480.0,3853.0,36.0,14.0,7.8,178.0,480.0,2249.0,16.0,4.7,108.0,117.0,991.0,31.0,44.3,9.8,-172.07,270.12,900.3,750.8,601.3,314.9,29.0,15.0,21.0,27.0,30.0,1485.32,28.0,1335.82,28.0,1186.32,30.0
