,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
10,Green Bay Packers,336.0,5388.0,1033.0,5.2,23.0,5.0,308.0,313.0,568.0,3492.0,24.0,18.0,5.7,191.0,418.0,1896.0,12.0,4.5,83.0,123.0,1055.0,34.0,33.2,11.8,81.27,199.68,806.2,649.7,493.2,251.60000000000002,12.0,10.0,12.0,13.0,17.0,1257.48,12.0,1100.98,13.0,944.48,15.0
11,Baltimore Ravens,344.0,5615.0,1086.0,5.2,25.0,12.0,326.0,335.0,557.0,3650.0,15.0,13.0,6.1,187.0,492.0,1965.0,15.0,4.0,105.0,107.0,929.0,34.0,34.9,12.0,132.17,180.0,790.0,622.5,455.0,262.5,10.0,7.0,7.0,7.0,20.0,1232.5,10.0,1065.0,9.0,897.5,9.0
12,New York Giants,344.0,6134.0,1016.0,6.0,35.0,14.0,317.0,341.0,534.0,4068.0,26.0,21.0,7.2,196.0,449.0,2066.0,9.0,4.6,104.0,102.0,900.0,17.0,35.4,17.1,64.81,224.72,903.8,733.3,562.8,232.60000000000002,19.0,25.0,25.0,27.0,15.0,1361.12,21.0,1190.62,20.0,1020.12,21.0
13,Minnesota Vikings,348.0,5600.0,1083.0,5.2,22.0,12.0,345.0,391.0,612.0,3908.0,28.0,10.0,6.0,229.0,427.0,1692.0,10.0,4.0,82.0,111.0,949.0,34.0,33.7,11.8,56.23,248.32,949.8,754.3,558.8,205.2,28.0,27.0,27.0,26.0,11.0,1403.32,26.0,1207.82,24.0,1012.3199999999999,19.0
14,St. Louis Rams,348.0,5482.0,1041.0,5.3,21.0,4.0,327.0,362.0,547.0,3602.0,16.0,17.0,6.0,197.0,442.0,1880.0,18.0,4.3,107.0,90.0,758.0,23.0,34.6,10.8,85.63,174.08,818.2,637.2,456.2,288.0,6.0,14.0,10.0,8.0,26.0,1280.2800000000002,13.0,1099.2800000000002,12.0,918.28,12.0
15,San Diego Chargers,350.0,5223.0,1012.0,5.2,28.0,14.0,316.0,347.0,568.0,3681.0,28.0,14.0,6.1,201.0,406.0,1542.0,10.0,3.8,85.0,102.0,798.0,30.0,31.3,13.7,106.5,231.24,883.1,709.6,536.1,186.2,23.0,23.0,23.0,22.0,7.0,1300.54,16.0,1127.04,16.0,953.54,16.0
16,Arizona Cardinals,357.0,5405.0,1041.0,5.2,33.0,11.0,288.0,270.0,497.0,3213.0,20.0,22.0,6.0,160.0,506.0,2192.0,12.0,4.3,107.0,100.0,810.0,21.0,27.0,14.2,169.34,164.52,711.3,576.3,441.3,269.2,2.0,3.0,3.0,6.0,21.0,1145.02,5.0,1010.02,7.0,875.02,7.0
17,Carolina Panthers,363.0,5329.0,1010.0,5.3,23.0,12.0,326.0,371.0,555.0,3568.0,22.0,11.0,6.0,196.0,416.0,1761.0,11.0,4.2,98.0,86.0,711.0,32.0,38.6,11.9,40.88,208.72,859.8,674.3,488.8,218.1,13.0,22.0,16.0,12.0,13.0,1286.62,14.0,1101.12,14.0,915.62,11.0
18,Cleveland Browns,368.0,5821.0,1095.0,5.3,29.0,12.0,345.0,378.0,600.0,3923.0,27.0,17.0,6.1,203.0,457.0,1898.0,14.0,4.2,104.0,120.0,1008.0,38.0,30.7,14.6,83.87,230.92,932.3,743.3,554.3,249.8,22.0,26.0,26.0,25.0,16.0,1413.02,27.0,1224.02,27.0,1035.02,23.0
19,New York Jets,375.0,5174.0,1019.0,5.1,23.0,12.0,293.0,266.0,494.0,3036.0,20.0,11.0,5.8,161.0,495.0,2138.0,17.0,4.3,96.0,109.0,805.0,36.0,30.6,11.4,84.02,179.44,689.6,556.6,423.6,291.8,9.0,1.0,1.0,3.0,28.0,1160.8400000000001,7.0,1027.8400000000001,8.0,894.84,8.0
20,Indianapolis Colts,387.0,5988.0,995.0,6.0,15.0,3.0,325.0,334.0,535.0,3788.0,23.0,12.0,6.7,190.0,428.0,2200.0,14.0,5.1,102.0,128.0,1208.0,33.0,38.3,8.3,-40.83,219.52,850.8,683.8,516.8,298.0,17.0,19.0,19.0,19.0,29.0,1368.32,22.0,1201.32,21.0,1034.32,22.0
21,Washington Redskins,388.0,6043.0,1031.0,5.9,31.0,10.0,340.0,393.0,636.0,4511.0,31.0,21.0,6.8,223.0,363.0,1532.0,11.0,4.2,89.0,100.0,811.0,28.0,38.3,16.9,67.07,262.44,1030.1,833.6,637.1,199.2,30.0,31.0,30.0,30.0,10.0,1491.7399999999998,30.0,1295.24,29.0,1098.74,29.0
22,Tampa Bay Buccaneers,394.0,6078.0,1031.0,5.9,26.0,8.0,329.0,410.0,627.0,4758.0,30.0,18.0,7.3,226.0,377.0,1320.0,13.0,3.5,75.0,103.0,851.0,28.0,32.8,12.5,18.91,274.32,1065.8,860.8,655.8,194.0,31.0,32.0,32.0,32.0,9.0,1534.12,31.0,1329.12,31.0,1124.12,31.0
23,Dallas Cowboys,400.0,5687.0,986.0,5.8,16.0,9.0,317.0,320.0,511.0,3684.0,22.0,7.0,6.8,195.0,441.0,2003.0,17.0,4.5,92.0,89.0,726.0,30.0,38.9,8.0,41.54,221.36,820.4,660.4,500.4,284.3,18.0,15.0,14.0,15.0,25.0,1326.06,18.0,1166.06,18.0,1006.06,18.0
24,Kansas City Chiefs,425.0,5704.0,973.0,5.9,13.0,6.0,301.0,279.0,464.0,3533.0,29.0,7.0,7.2,176.0,482.0,2171.0,11.0,4.5,106.0,81.0,670.0,19.0,40.4,6.2,-16.83,243.32,806.3,666.8,527.3,271.1,26.0,11.5,15.0,20.0,22.5,1320.72,17.0,1181.22,19.0,1041.72,25.0
25,Buffalo Bills,435.0,5806.0,1042.0,5.6,21.0,9.0,349.0,306.0,536.0,3473.0,25.0,12.0,6.1,182.0,470.0,2333.0,23.0,5.0,136.0,80.0,693.0,31.0,37.1,10.8,-27.22,214.92,803.3,650.3,497.3,353.3,16.0,9.0,13.0,14.0,32.0,1371.52,23.0,1218.52,26.0,1065.52,27.0
26,Detroit Lions,437.0,5458.0,998.0,5.5,17.0,6.0,305.0,346.0,544.0,3569.0,26.0,11.0,6.2,167.0,420.0,1889.0,13.0,4.5,107.0,93.0,789.0,31.0,36.8,8.4,34.54,224.76,858.9,685.9,512.9,254.89999999999998,20.0,21.0,20.0,18.0,18.0,1338.56,19.0,1165.56,17.0,992.56,17.0
27,Oakland Raiders,443.0,5672.0,995.0,5.7,19.0,8.0,304.0,347.0,526.0,3775.0,28.0,11.0,6.9,180.0,444.0,1897.0,18.0,4.3,95.0,101.0,925.0,29.0,41.2,9.1,6.5,241.0,892.5,719.0,545.5,281.7,24.0,24.0,24.0,24.0,24.0,1415.2,28.0,1241.7,28.0,1068.2,28.0
28,Philadelphia Eagles,444.0,5491.0,994.0,5.5,13.0,5.0,317.0,292.0,485.0,3470.0,33.0,8.0,6.7,178.0,479.0,2021.0,11.0,4.2,108.0,118.0,996.0,31.0,39.0,6.6,6.57,254.8,837.0,691.0,545.0,258.1,29.0,16.0,22.0,23.0,19.0,1349.9,20.0,1203.9,23.0,1057.9,26.0
29,Jacksonville Jaguars,444.0,6088.0,1100.0,5.5,23.0,11.0,364.0,341.0,535.0,3832.0,21.0,12.0,6.9,194.0,545.0,2256.0,19.0,4.1,133.0,101.0,820.0,37.0,39.8,11.0,-18.48,213.28,850.2,679.7,509.2,317.6,15.0,18.0,17.0,17.0,30.0,1381.08,24.0,1210.58,25.0,1040.08,24.0
30,New Orleans Saints,454.0,7042.0,1089.0,6.5,26.0,11.0,380.0,370.0,602.0,4681.0,31.0,15.0,7.4,236.0,457.0,2361.0,18.0,5.2,116.0,102.0,835.0,28.0,39.6,13.0,-24.2,281.24,1024.1,839.1,654.1,322.1,32.0,30.0,31.0,31.0,31.0,1627.44,32.0,1442.44,32.0,1257.44,32.0
31,Tennessee Titans,471.0,5999.0,1086.0,5.5,24.0,5.0,358.0,374.0,564.0,3964.0,31.0,19.0,6.6,210.0,483.0,2035.0,16.0,4.2,122.0,86.0,717.0,26.0,39.8,12.6,22.2,244.56,956.4,769.4,582.4,289.5,27.0,28.0,28.0,28.0,27.0,1490.46,29.0,1303.46,30.0,1116.46,30.0
