,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,EXP,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
10,Houston Texans,328.0,4821.0,950.0,5.1,17.0,6.0,272.0,319.0,522.0,3226.0,20.0,11.0,5.8,157.0,397.0,1595.0,13.0,4.0,87.0,114.0,949.0,28.0,31.7,9.1,88.96,187.04,761.6,602.1,442.6,225.5,4.0,2.0,2.0,2.0,15.0,1174.1399999999999,2.0,1014.64,2.0,855.14,2.0
11,Philadelphia Eagles,331.0,5484.0,978.0,5.6,26.0,10.0,300.0,333.0,553.0,3832.0,25.0,16.0,6.5,177.0,391.0,1652.0,10.0,4.2,89.0,99.0,837.0,34.0,33.9,13.4,25.9,221.28,866.2,699.7,533.2,205.2,15.0,10.0,13.0,14.0,9.0,1292.68,9.0,1126.18,9.0,959.6800000000001,11.0
12,Detroit Lions,358.0,5676.0,964.0,5.9,14.0,4.0,333.0,399.0,549.0,3975.0,33.0,10.0,6.9,206.0,389.0,1701.0,8.0,4.4,99.0,122.0,979.0,28.0,39.4,8.8,-88.0,271.0,994.5,795.0,595.5,210.1,31.0,30.0,29.0,28.0,10.0,1475.6,28.0,1276.1,27.0,1076.6,24.0
13,Arizona Cardinals,362.0,4883.0,1019.0,4.8,28.0,14.0,293.0,344.0,547.0,3365.0,21.0,14.0,5.7,175.0,424.0,1518.0,16.0,3.6,90.0,123.0,1010.0,28.0,32.5,12.9,81.68,190.6,806.5,634.5,462.5,219.8,5.0,6.0,6.0,4.0,12.0,1216.9,5.0,1044.9,5.0,872.9,6.0
14,Tampa Bay Buccaneers,369.0,5887.0,1013.0,5.8,29.0,12.0,326.0,347.0,548.0,4012.0,24.0,17.0,6.8,203.0,427.0,1875.0,15.0,4.4,102.0,121.0,1061.0,21.0,35.9,14.7,39.69,222.48,892.2,718.7,545.2,253.5,16.0,17.0,16.0,18.0,22.0,1368.18,17.0,1194.68,18.0,1021.1800000000001,19.0
15,Tennessee Titans,378.0,5720.0,1031.0,5.5,18.0,6.0,324.0,388.0,635.0,4307.0,25.0,12.0,6.4,227.0,356.0,1413.0,10.0,4.0,70.0,137.0,1191.0,27.0,35.0,9.0,8.52,248.28,968.7,774.7,580.7,189.3,22.0,26.0,25.0,25.0,5.0,1406.2800000000002,20.0,1212.2800000000002,19.0,1018.2800000000001,18.0
16,Buffalo Bills,378.0,5712.0,1019.0,5.6,18.0,6.0,338.0,306.0,511.0,3582.0,19.0,12.0,6.5,183.0,469.0,2130.0,21.0,4.5,122.0,106.0,884.0,33.0,38.8,9.3,46.56,195.28,778.2,625.2,472.2,327.0,7.0,3.0,4.0,7.0,30.0,1300.48,10.0,1147.48,13.0,994.48,16.0
17,Miami Dolphins,380.0,6122.0,1088.0,5.6,25.0,9.0,349.0,368.0,591.0,3875.0,30.0,16.0,6.2,199.0,464.0,2247.0,12.0,4.8,109.0,109.0,919.0,41.0,35.1,12.9,-16.46,243.0,935.5,751.5,567.5,278.7,20.0,22.0,22.0,22.0,27.0,1457.2,25.0,1273.2,25.0,1089.2,27.0
18,Washington Redskins,383.0,6046.0,1050.0,5.8,21.0,8.0,368.0,387.0,589.0,4130.0,22.0,13.0,6.6,225.0,423.0,1916.0,19.0,4.5,109.0,100.0,1023.0,34.0,38.5,11.8,-32.66,227.2,932.0,738.5,545.0,289.6,18.0,21.0,20.0,17.0,28.0,1448.8,24.0,1255.3,24.0,1061.8,23.0
19,Oakland Raiders,385.0,6001.0,987.0,6.1,30.0,14.0,318.0,328.0,541.0,4120.0,27.0,16.0,7.3,188.0,421.0,1881.0,18.0,4.5,94.0,115.0,1062.0,36.0,35.3,14.2,-28.15,240.8,902.0,738.0,574.0,268.1,19.0,18.0,19.0,24.0,25.0,1410.9,21.0,1246.9,23.0,1082.9,25.0
20,Green Bay Packers,388.0,5823.0,987.0,5.9,25.0,8.0,329.0,370.0,571.0,4308.0,32.0,17.0,7.1,227.0,376.0,1515.0,11.0,4.0,80.0,109.0,964.0,22.0,41.0,13.9,-29.27,266.32,992.8,807.8,622.8,201.5,29.0,29.0,31.0,32.0,8.0,1460.62,26.0,1275.62,26.0,1090.62,28.0
21,Indianapolis Colts,392.0,6126.0,1024.0,6.0,17.0,9.0,353.0,378.0,582.0,4200.0,27.0,8.0,6.8,225.0,409.0,1926.0,12.0,4.7,93.0,125.0,1155.0,35.0,41.5,9.7,-46.92,260.0,960.0,771.0,582.0,246.60000000000002,27.0,24.0,24.0,26.0,19.0,1466.6,27.0,1277.6,28.0,1088.6,26.0
22,Los Angeles Rams,394.0,5392.0,1037.0,5.2,18.0,8.0,325.0,378.0,582.0,3732.0,32.0,10.0,6.1,194.0,424.0,1660.0,12.0,3.9,91.0,108.0,920.0,40.0,31.3,9.4,-2.88,257.28,943.2,754.2,565.2,222.0,25.0,23.0,23.0,20.0,13.0,1422.48,22.0,1233.48,21.0,1044.48,22.0
23,Chicago Bears,399.0,5548.0,1012.0,5.5,11.0,3.0,322.0,342.0,530.0,3598.0,22.0,8.0,6.3,188.0,445.0,1950.0,18.0,4.4,99.0,103.0,959.0,35.0,42.0,6.3,-68.19,215.92,833.8,662.8,491.8,297.0,14.0,8.0,8.0,8.5,29.0,1346.7199999999998,15.0,1175.7199999999998,16.0,1004.72,17.0
24,Jacksonville Jaguars,400.0,5147.0,1030.0,5.0,13.0,6.0,305.0,345.0,551.0,3444.0,20.0,7.0,5.9,174.0,446.0,1703.0,17.0,3.8,93.0,101.0,948.0,38.0,39.3,5.8,40.52,203.76,809.4,636.9,464.4,260.3,8.0,7.0,7.0,5.0,24.0,1273.46,8.0,1100.96,8.0,928.46,8.0
25,Carolina Panthers,402.0,5756.0,1035.0,5.6,27.0,10.0,329.0,409.0,612.0,4291.0,27.0,17.0,6.5,223.0,376.0,1465.0,11.0,3.9,90.0,112.0,907.0,16.0,36.2,13.8,57.81,245.64,1000.1,795.6,591.1,192.5,21.0,31.0,30.0,27.0,6.0,1438.24,23.0,1233.74,22.0,1029.24,20.0
26,Atlanta Falcons,406.0,5939.0,1059.0,5.6,22.0,10.0,358.0,422.0,655.0,4267.0,31.0,12.0,6.2,232.0,370.0,1672.0,15.0,4.5,95.0,113.0,974.0,31.0,39.2,11.4,-34.14,270.68,1034.7,823.7,612.7,237.2,30.0,32.0,32.0,30.0,18.0,1542.58,31.0,1331.58,30.0,1120.58,30.0
27,New York Jets,409.0,5479.0,1000.0,5.5,14.0,6.0,318.0,347.0,545.0,3898.0,30.0,8.0,6.8,203.0,428.0,1581.0,11.0,3.7,86.0,74.0,651.0,29.0,37.7,7.1,-55.99,259.91999999999996,916.8,743.3,569.8,212.1,26.0,20.0,21.0,23.0,11.0,1388.82,18.0,1215.32,20.0,1041.82,21.0
28,San Diego Chargers,423.0,5554.0,1025.0,5.4,28.0,10.0,329.0,364.0,580.0,3987.0,21.0,18.0,6.5,204.0,410.0,1567.0,20.0,3.8,98.0,119.0,837.0,27.0,39.8,14.5,71.88,207.48,888.7,706.7,524.7,256.7,10.0,15.0,14.0,13.0,23.0,1352.88,16.0,1170.88,15.0,988.88,15.0
29,Cleveland Browns,452.0,6279.0,1067.0,5.9,13.0,3.0,364.0,347.0,543.0,3996.0,36.0,10.0,7.0,220.0,498.0,2283.0,18.0,4.6,121.0,104.0,930.0,23.0,40.8,6.1,-128.14,283.84000000000003,962.6,789.1,615.6,330.3,32.0,25.0,28.0,31.0,31.0,1576.7400000000002,32.0,1403.2400000000002,32.0,1229.7400000000002,32.0
30,New Orleans Saints,454.0,6006.0,1008.0,6.0,21.0,12.0,353.0,378.0,582.0,4380.0,27.0,9.0,7.2,230.0,396.0,1626.0,19.0,4.1,91.0,104.0,881.0,32.0,45.3,12.2,-61.65,265.2,978.0,789.0,600.0,252.60000000000002,28.0,27.0,27.0,29.0,21.0,1495.8,29.0,1306.8,29.0,1117.8,29.0
31,San Francisco 49ers,480.0,6502.0,1102.0,5.9,20.0,10.0,358.0,322.0,521.0,3848.0,30.0,10.0,6.9,187.0,548.0,2654.0,25.0,4.8,140.0,93.0,795.0,31.0,41.4,9.4,-52.22,253.92,886.8,725.8,564.8,395.4,24.0,14.0,18.0,19.0,32.0,1536.12,30.0,1375.12,31.0,1214.12,31.0
