Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,NYG,Preston Parker,16,593,1128,52.57,37.06,0,9.44,9.44,51.8,0.09
WR,TEN,Justin Hunter,12,593,713,83.17,49.42,0,11.3,11.3,67.8,0.11
TE,PHI,Zach Ertz,16,588,1176,50,36.75,0,15.14,15.14,86.2,0.15
TE,DET,Brandon Pettigrew,14,587,962,61.02,41.93,0,2.56,2.56,7,0.01
WR,HOU,Damaris Johnson,16,576,1109,51.94,36,0.87,8.51,9.38,41,0.07
WR,IND,Hakeem Nicks,16,576,1155,49.87,36,0,11.81,11.81,64.5,0.11
TE,NO,Benjamin Watson,16,571,1140,50.09,35.69,0,5.43,5.43,25.6,0.04
WR,MIN,Cordarrelle Patterson,16,566,1024,55.27,35.38,1.77,11.84,13.6,60.1,0.11
TE,WAS,Niles Paul,16,562,1054,53.32,35.13,0,9.25,9.25,54.7,0.1
WR,ATL,Harry Douglas,12,557,820,67.93,46.42,0,13.29,13.29,69.6,0.12
TE,SEA,Luke Willson,15,555,986,56.29,37,0,7.21,7.21,54.2,0.1
WR,CAR,Jason Avant,16,554,1050,52.76,34.63,0.18,11.19,11.37,41.4,0.07
TE,HOU,Garrett Graham,11,552,748,73.8,50.18,0,5.07,5.07,25.7,0.05
TE,MIN,Rhett Ellison,16,552,1024,53.91,34.5,0,4.71,4.71,28.8,0.05
RB,BUF,Fred Jackson,14,548,945,57.99,39.14,25.91,16.42,42.34,122.7,0.22
RB,CAR,Jonathan Stewart,13,546,888,61.49,42,32.05,5.68,37.73,121,0.22
WR,SEA,Percy Harvin,13,543,844,64.34,41.77,6.08,14.36,20.44,78.5,0.14
WR,LAR,Tavon Austin,15,536,928,57.76,35.73,6.72,8.21,14.93,58.6,0.11
WR,CLE,Miles Austin,12,535,832,64.3,44.58,0,13.46,13.46,68.8,0.13
WR,NO,Brandin Cooks,10,534,738,72.36,53.4,1.31,12.92,14.23,86.3,0.16
RB,ARI,Andre Ellington,12,528,783,67.43,44,38.07,12.12,50.19,131.5,0.25
RB,MIN,Matt Asiata,15,525,956,54.92,35,31.24,12,43.24,150.2,0.29
TE,CAR,Ed Dickson,16,522,1104,47.28,32.63,0,3.26,3.26,17.5,0.03
RB,NYG,Andre Williams,16,520,1128,46.1,32.5,41.73,7.12,48.85,127.1,0.24
WR,JAX,Allen Robinson,10,516,660,78.18,51.6,0,15.7,15.7,68.8,0.13
WR,MIN,Jarius Wright,16,514,1024,50.2,32.13,0.97,12.06,13.04,77.9,0.15
RB,OAK,Darren McFadden,16,513,1029,49.85,32.06,30.21,10.92,41.13,84.6,0.16
RB,CIN,Giovani Bernard,13,509,866,58.78,39.15,33.01,11.59,44.6,144.9,0.28
TE,MIA,Dion Sims,14,507,958,52.92,36.21,0,7.1,7.1,40.4,0.08
WR,MIA,Brandon Gibson,14,503,967,52.02,35.93,0,10.14,10.14,35.5,0.07
RB,CIN,Jeremy Hill,16,501,1062,47.18,31.31,44.31,6.39,50.7,183.9,0.37
WR,SEA,Paul Richardson,15,497,1008,49.31,33.13,0,8.85,8.85,33.1,0.07
RB,DEN,CJ Anderson,15,495,1047,47.28,33,36.16,8.89,45.05,177.3,0.36
WR,JAX,Marqise Lee,13,492,855,57.54,37.85,0.61,13.82,14.43,49.1,0.1
WR,CIN,Brandon Tate,16,484,1062,45.57,30.25,0.62,5.37,5.99,25.4,0.05
RB,IND,Trent Richardson,15,483,1089,44.35,32.2,32.92,7.04,39.96,90.8,0.19
TE,JAX,Clay Harbor,13,482,854,56.44,37.08,0,7.26,7.26,34.8,0.07
TE,GB,Richard Rodgers,16,478,1050,45.52,29.88,0,6.28,6.28,34.5,0.07
TE,CLE,Jordan Cameron,10,475,612,77.61,47.5,0,10.11,10.11,54.4,0.11
TE,NE,Michael Hoomanawanui,16,473,1131,41.82,29.56,0,1.27,1.27,4.4,0.01
TE,HOU,CJ Fiedorowicz,15,471,1036,45.46,31.4,0,1.49,1.49,8.8,0.02
RB,NO,Mark Ingram,13,470,917,51.25,36.15,48.09,7.66,55.74,162.9,0.35
TE,TB,Brandon Myers,14,466,865,53.87,33.29,0,6.87,6.87,19,0.04
TE,CIN,Ryan Hewitt,16,466,1062,43.88,29.13,0.21,3.22,3.43,8.6,0.02
WR,BUF,Chris Hogan,16,461,1062,43.41,28.81,0,13.23,13.23,62.6,0.14
FB,SF,Bruce Miller,16,461,1058,43.57,28.81,1.3,5.42,6.72,29.8,0.06
WR,NE,Danny Amendola,16,456,1131,40.32,28.5,0,9.21,9.21,26,0.06
WR,TB,Louis Murphy,11,456,705,64.68,41.45,0,12.28,12.28,50,0.11
FB,BAL,Kyle Juszczyk,16,454,1076,42.19,28.38,0,5.95,5.95,20.2,0.04
TE,TB,Austin Seferian-Jenkins,9,448,577,77.64,49.78,0,8.48,8.48,32.1,0.07
